ranking,Flight_date,airline_code,airline_name,avg_distance
1,2010-01-01,AS,Alaska Airlines Inc.,1446.2308
2,2010-01-01,UA,United Air Lines Inc.,1220.6333
3,2010-01-01,CO,Continental Air Lines Inc.,1186.1786
4,2010-01-01,DL,Delta Air Lines Inc.,1115.7119
5,2010-01-01,AA,American Airlines Inc.,1081.4237
6,2010-01-01,F9,Frontier Airlines Inc.,1048.7500
7,2010-01-01,B6,JetBlue Airways,977.2083
8,2010-01-01,US,US Airways Inc.,959.2162
9,2010-01-01,FL,AirTran Airways Corporation,808.1600
10,2010-01-01,WN,Southwest Airlines Co.,659.0220
11,2010-01-01,XE,ExpressJet Airlines Inc. (1),617.0323
12,2010-01-01,OH,Comair Inc.,506.1000
13,2010-01-01,OO,SkyWest Airlines Inc.,419.6111
14,2010-01-01,MQ,Envoy Air,407.5306
15,2010-01-01,9E,Endeavor Air Inc.,393.5714
16,2010-01-01,EV,ExpressJet Airlines Inc.,377.7308
17,2010-01-01,YV,Mesa Airlines Inc.,323.8947
18,2010-01-01,HA,Hawaiian Airlines Inc.,159.0000
1,2010-01-02,UA,United Air Lines Inc.,1313.3333
2,2010-01-02,B6,JetBlue Airways,1295.1667
3,2010-01-02,CO,Continental Air Lines Inc.,1219.5385
4,2010-01-02,AA,American Airlines Inc.,1122.2000
5,2010-01-02,DL,Delta Air Lines Inc.,954.3333
6,2010-01-02,US,US Airways Inc.,869.0769
7,2010-01-02,AS,Alaska Airlines Inc.,838.4615
8,2010-01-02,F9,Frontier Airlines Inc.,745.4286
9,2010-01-02,FL,AirTran Airways Corporation,666.5385
10,2010-01-02,WN,Southwest Airlines Co.,634.0270
11,2010-01-02,XE,ExpressJet Airlines Inc. (1),612.5294
12,2010-01-02,OH,Comair Inc.,505.6364
13,2010-01-02,OO,SkyWest Airlines Inc.,470.5862
14,2010-01-02,YV,Mesa Airlines Inc.,458.0000
15,2010-01-02,9E,Endeavor Air Inc.,413.5862
16,2010-01-02,MQ,Envoy Air,389.7045
17,2010-01-02,HA,Hawaiian Airlines Inc.,376.0000
18,2010-01-02,EV,ExpressJet Airlines Inc.,309.6923
1,2010-01-03,CO,Continental Air Lines Inc.,1227.0333
2,2010-01-03,B6,JetBlue Airways,1214.3200
3,2010-01-03,AS,Alaska Airlines Inc.,1207.2308
4,2010-01-03,AA,American Airlines Inc.,1097.3462
5,2010-01-03,US,US Airways Inc.,1080.7297
6,2010-01-03,UA,United Air Lines Inc.,1030.8444
7,2010-01-03,DL,Delta Air Lines Inc.,947.9405
8,2010-01-03,F9,Frontier Airlines Inc.,943.5000
9,2010-01-03,FL,AirTran Airways Corporation,796.7500
10,2010-01-03,WN,Southwest Airlines Co.,686.2540
11,2010-01-03,XE,ExpressJet Airlines Inc. (1),542.9500
12,2010-01-03,OH,Comair Inc.,484.2857
13,2010-01-03,YV,Mesa Airlines Inc.,470.0000
14,2010-01-03,EV,ExpressJet Airlines Inc.,443.3704
15,2010-01-03,OO,SkyWest Airlines Inc.,440.6582
16,2010-01-03,HA,Hawaiian Airlines Inc.,413.1111
17,2010-01-03,MQ,Envoy Air,399.4583
18,2010-01-03,9E,Endeavor Air Inc.,396.4118
1,2010-01-04,UA,United Air Lines Inc.,1312.0811
2,2010-01-04,CO,Continental Air Lines Inc.,1182.1333
3,2010-01-04,B6,JetBlue Airways,1170.3913
4,2010-01-04,AS,Alaska Airlines Inc.,1169.9333
5,2010-01-04,AA,American Airlines Inc.,1057.7049
6,2010-01-04,F9,Frontier Airlines Inc.,989.5556
7,2010-01-04,DL,Delta Air Lines Inc.,933.5068
8,2010-01-04,FL,AirTran Airways Corporation,744.9643
9,2010-01-04,US,US Airways Inc.,723.0652
10,2010-01-04,WN,Southwest Airlines Co.,642.1905
11,2010-01-04,XE,ExpressJet Airlines Inc. (1),589.9268
12,2010-01-04,OO,SkyWest Airlines Inc.,542.6140
13,2010-01-04,OH,Comair Inc.,497.0000
14,2010-01-04,YV,Mesa Airlines Inc.,482.5938
15,2010-01-04,9E,Endeavor Air Inc.,459.0313
16,2010-01-04,HA,Hawaiian Airlines Inc.,417.7000
17,2010-01-04,MQ,Envoy Air,410.8444
18,2010-01-04,EV,ExpressJet Airlines Inc.,352.2424
1,2010-01-05,CO,Continental Air Lines Inc.,1296.0000
